,Multiple instances,Single document window splitting,MDI: overlappable windows,MDI: tabbed document interface,MDI: window splitting
Acme,Yes,Yes,No,Yes,Yes
AkelPad,Yes,Yes,Yes,Yes,Yes
Alphatk,Yes,Yes,Yes,Yes,Yes
Atom,Yes,Yes,Yes,Yes,Yes
Aquamacs,Yes,Yes,Yes,Yes,Yes
BBEdit,Yes,Yes,Yes,Yes,Yes
Bluefish,Yes,Yes,Yes,Yes,No
Brackets,No,No,No,Yes,Yes
Coda,Yes,Yes,Yes,Yes,Yes
ConTEXT,Yes,No,Yes,Yes,No
Crimson Editor,Yes,Yes,Yes,Yes,Yes
Diakonos,Yes,No,No,No,No
E Text Editor,Yes,No,No,Yes,Yes
ed,Yes,No,No,No,No
EditPlus,Yes,Yes,Yes,Yes,Yes
Editra,Yes,Yes,?,Yes,?
EmEditor,Yes,Yes,Yes,Yes,Yes
Geany,Yes,Plug-in,No,Yes,No
gedit,Yes,Plug-in[10],Yes,Yes,Plug-in[11]
GNU Emacs,Yes,Yes,Yes,Plug-in[12][13],Yes
Gobby,Yes,No,No,Yes,No
JED,Yes,Yes,No,No,Yes
jEdit,Yes,Yes,No,Yes,Yes
JOE,Yes,Yes,No,No[14],Yes
JOVE,Yes,Yes,No,No,Yes
Kate,Yes,Yes,Yes,Yes,Yes
KEDIT,No,No,Yes,No,No
Komodo Edit,Yes,Yes,No,Yes,Yes
Komodo IDE,Yes,Yes,No,Yes,Yes
KWrite,Yes,No,No,No,No
LE,Yes,No,No,No,No
Light Table,Yes,No,No,Yes,Yes
Metapad,Yes,No,No,No,No
mined,Yes,No,No[15],Yes,No
MS-DOS Editor,Yes,Yes,No,No,Yes
Nano,Yes,No,No,No,No
NEdit,Yes,Yes,No,Yes,Yes
Notepad,Yes,No,No,No,No
Notepad++,Yes,Yes,No,Yes,2 windows
Notepad2,Yes,No,No,No,No
NoteTab,Yes,?,No,Yes,2 windows
nvi,Yes,Yes,No,No,No
Peppermint,Yes,Yes,No,Yes,Yes
Pico,Yes,No,No,No,No
PolyEdit,No,No,Yes,Yes,Yes
Programmer's Notepad,Yes,Yes,Yes,Yes,Yes
PSPad,Yes,Yes,Yes,Yes,Yes
Q10,No,No,No,No,No
RJ TextEd,Yes,Yes,Yes,Yes,Yes
RText,Yes,No,Yes,Yes,No
SciTE,Yes,No,No,Yes[16],No
SlickEdit,Yes,Yes,Yes,Yes,Yes
Smultron,Yes,Yes,No,Yes,Yes
Source Insight,Yes,Yes,Yes,No,No
SubEthaEdit,Yes,Yes,No,Yes,No
Sublime Text,Yes,Yes,No,Yes,Yes
TED Notepad,?,?,?,No,?
TextEdit,Yes,No,No,No,No
TextMate,Yes,No,No,Yes,No
TextPad,Yes,Yes,Yes,Yes,Yes
TextWrangler,Yes,Yes,Yes,Yes,Yes
The SemWare Editor,Yes,Yes,No,No,Yes
UltraEdit,Yes,Yes,Yes,Yes,Yes
VEDIT,Yes,Yes,Yes,Yes,Yes
vi,Yes,No,No,No,No
Vim,Yes,Yes,Yes[17],Yes[18],Yes
Visual Studio Code,Yes,Yes,No,Yes,Yes
Xeditor,Yes,Yes,?,?,?
XEmacs,Yes,Yes,Yes,Yes,Yes
Yi,Yes,Yes,Yes,Yes,Yes
,Multiple instances,Single document window splitting,MDI: overlappable windows,MDI: tabbed document interface,MDI: window splitting
